4.6,3.1,1.5,0.2,setosa,5.8,2.7,5.1,1.9,virginica
4.4,2.9,1.4,0.2,setosa,4.9,2.5,4.5,1.7,virginica
5.4,3.7,1.5,0.2,setosa,5.5,2.5,4,1.3,versicolor
4.8,3.4,1.6,0.2,setosa,5.7,2.6,3.5,1,versicolor
5.4,3.9,1.3,0.4,setosa,5.7,2.9,4.2,1.3,versicolor
5.7,3.8,1.7,0.3,setosa,7.7,2.6,6.9,2.3,virginica
5.2,4.1,1.5,0.1,setosa,5.6,2.8,4.9,2,virginica
5.2,4.1,1.5,0.1,setosa,6.9,3.1,5.4,2.1,virginica
4.9,3.1,1.5,0.2,setosa,6.5,3,5.8,2.2,virginica
5,3.2,1.2,0.2,setosa,6,3.4,4.5,1.6,versicolor
5.5,3.5,1.3,0.2,setosa,6.3,3.3,4.7,1.6,versicolor
5,3.5,1.3,0.3,setosa,6.3,3.3,4.7,1.6,versicolor
5,3.5,1.6,0.6,setosa,6.9,3.1,5.4,2.1,virginica
5.1,3.8,1.9,0.4,setosa,6.2,2.2,4.5,1.5,versicolor
5.1,3.8,1.9,0.4,setosa,6.3,2.5,4.9,1.5,versicolor
4.8,3,1.4,0.3,setosa,6.8,3,5.5,2.1,virginica
5.1,3.8,1.6,0.2,setosa,5.7,2.6,3.5,1,versicolor
4.6,3.2,1.4,0.2,setosa,7.9,3.8,6.4,2,virginica
6.9,3.1,4.9,1.5,versicolor,6,2.2,5,1.5,virginica
6.6,2.9,4.6,1.3,versicolor,6.3,3.4,5.6,2.4,virginica
5.6,2.5,3.9,1.1,versicolor,7.2,3,5.8,1.6,virginica
5.6,2.5,3.9,1.1,versicolor,6.3,2.8,5.1,1.5,virginica
6.8,2.8,4.8,1.4,versicolor,6.7,3,5.2,2.3,virginica
6,3.4,4.5,1.6,versicolor,6,3,4.8,1.8,virginica
6.7,3.1,4.7,1.5,versicolor,6.4,3.2,5.3,2.3,virginica
6.3,2.3,4.4,1.3,versicolor,6.4,2.8,5.6,2.1,virginica
5,2.3,3.3,1,versicolor,6.7,3,5.2,2.3,virginica
6.2,2.9,4.3,1.3,versicolor,4.9,2.5,4.5,1.7,virginica
